District,Service_Name,Department,Users_Reported,Satisfaction_Score_(%),Year,Month
Musanze,eTax Portal,Ministry of Health,910,,2022,Unknown
Gasabo,Land Registration Portal,Immigration Department,3822,93.6,2023,Dec
Rusizi,eTax Portal,Rwanda Revenue Authority,516,82.9,2024,Mar
Nyagatare,E-Visa Service,Ministry of ICT,4476,,2024,Jun
Nyagatare,Digital Health Records,Rwanda Revenue Authority,,,2023,May
Rubavu,E-Visa Service,Rwanda Revenue Authority,,,2022,Jun
Musanze,eTax Portal,Rwanda Revenue Authority,,98.7,2021,Aug
Burera,Digital Health Records,Ministry of Lands,,54.1,2023,
Nyarugenge,eTax Portal,Ministry of ICT,,84,2021,Apr
Nyamagabe,Online Business Registration,Ministry of Health,,70.9,2021,Sep
Kicukiro,Digital Health Records,Immigration Department,,,2023,Aug
Gasabo,Digital Health Records,Immigration Department,4893,58.7,2024,Jun
Nyarugenge,Irembo Services,Ministry of Health,524,86.4,2021,Aug
Huye,Online Business Registration,Ministry of Lands,,92.3,2021,Feb
Nyagatare,Digital Health Records,Immigration Department,,,2022,Aug
Nyanza,Land Registration Portal,Rwanda Revenue Authority,,,2024,Dec
Gasabo,eTax Portal,Immigration Department,,52,2021,Dec
Burera,Land Registration Portal,Ministry of ICT,,75.7,2022,Aug
Huye,eTax Portal,Ministry of ICT,,71.9,2024,Jun
Burera,E-Visa Service,Ministry of Health,,,2023,Feb
Nyamagabe,eTax Portal,Ministry of Lands,1578,,2023,May
Nyagatare,Irembo Services,Ministry of Lands,3606,89.6,2022,Jan
Rulindo,E-Visa Service,Immigration Department,696,63.8,2023,
Rusizi,Digital Health Records,Ministry of Lands,2938,64.2,2021,Dec
Gasabo,eTax Portal,Ministry of Lands,2485,60.5,2024,Feb
Rwamagana,Irembo Services,Immigration Department,,73.3,2021,Jan
Nyamagabe,Land Registration Portal,Ministry of ICT,,86.7,2021,Unknown
Karongi,E-Visa Service,Rwanda Revenue Authority,,,2023,Jun
Rusizi,E-Visa Service,Ministry of Health,,95.5,2021,Nov
Rubavu,Irembo Services,Ministry of ICT,,,2023,Feb
Huye,Land Registration Portal,Ministry of Lands,,98.6,2024,Nov
Karongi,E-Visa Service,Ministry of Lands,,,2024,
Musanze-,Digital Health Records,Immigration Department,4064,,2021,Mar
Nyarugenge,eTax Portal,Ministry of Health,,54.9,2022,Dec
Gakenke,Online Business Registration,Rwanda Revenue Authority,,,2023,Apr
Musanze,Land Registration Portal,Immigration Department,,,2023,Sep
Bugesera,eTax Portal,Immigration Department,,,2021,Mar
Bugesera,Online Business Registration,Rwanda Revenue Authority,,82.6,2023,Sep
Rusizi,E-Visa Service,Rwanda Revenue Authority,1550,,2023,Mar
Kicukiro,Online Business Registration,Ministry of Lands,,92.9,2022,Jun
Rulindo,Land Registration Portal,Immigration Department,,,2022,Sep
Burera,eTax Portal,Ministry of ICT,4961,,2021,Jul
Musanze,E-Visa Service,Ministry of ICT,,98.5,2022,Aug
Gakenke,E-Visa Service,Immigration Department,,,2021,Apr
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,,,2024,
Burera,E-Visa Service,Ministry of Health,387,66.5,2021,Jul
Ngoma,Online Business Registration,Rwanda Revenue Authority,,,2024,Nov
Bugesera,E-Visa Service,Rwanda Revenue Authority,4043,57.3,2021,Mar
Huye,Irembo Services,Ministry of Health,,62.4,2023,Mar
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,429,97.4,2022,Nov
Kicukiro,E-Visa Service,Ministry of Health,2112,,2024,Nov
Nyagatare,Irembo Services,Immigration Department,114,69,2021,Jul
Ngoma,eTax Portal,Ministry of Health,,86.8,2022,Jul
Nyarugenge,Digital Health Records,Ministry of ICT,,76.7,2021,Jan
Nyagatare,Irembo Services,Ministry of Health,1545,,2022,Dec
Musanze,Land Registration Portal,Rwanda Revenue Authority,441,72.3,2022,Oct
Gakenke,eTax Portal,Immigration Department,4564,,2021,Apr
Rusizi,E-Visa Service,Ministry of Health,4524,,2024,Aug
Rulindo,Online Business Registration,Rwanda Revenue Authority,3611,,2024,Oct
Bugesera,Irembo Services,Ministry of Health,3149,56.1,2023,Jul
Rwamagana,eTax Portal,Immigration Department,,96.8,2022,Jul
Bugesera,eTax Portal,Immigration Department,,82,2023,Jan
Bugesera,E-Visa Service,Ministry of ICT,,72.6,2023,Dec
Huye,Digital Health Records,Immigration Department,4648,54.4,2021,Apr
Rusizi,Online Business Registration,Rwanda Revenue Authority,,,2021,Apr
Nyarugenge,Online Business Registration,Immigration Department,854,,2021,May
Rwamagana,Online Business Registration,Immigration Department,,,2022,
Burera,Land Registration Portal,Rwanda Revenue Authority,2823,,2021,Dec
Nyagatare,eTax Portal,Rwanda Revenue Authority,1620,,2021,
Rwamagana,Land Registration Portal,Immigration Department,2740,98.7,2022,
Rulindo,Land Registration Portal,Immigration Department,,72.7,2022,Feb
Gakenke,eTax Portal,Ministry of Health,552,76.1,2024,Oct
Rusizi,Online Business Registration,Immigration Department,4543,,2021,Feb
Burera,eTax Portal,Ministry of ICT,4538,,2021,
Nyagatare,Digital Health Records,Ministry of ICT,1534,,2021,Unknown
Karongi,eTax Portal,Ministry of ICT,913,,2024,Sep
Kicukiro,E-Visa Service,Ministry of ICT,613,,2021,Mar
Nyagatare,eTax Portal,Immigration Department,,59.4,2024,Jun
Kicukiro,Irembo Services,Ministry of Health,1807,,2023,Jun
Karongi,Digital Health Records,Rwanda Revenue Authority,1728,61.7,2024,Apr
Gakenke,Irembo Services,Immigration Department,,,2023,Aug
Rusizi,Online Business Registration,Ministry of Lands,1772,83.1,2021,Feb
Nyarugenge,Online Business Registration,Immigration Department,,,2023,May
Huye,E-Visa Service,Ministry of ICT,,,2024,Nov
Karongi,E-Visa Service,Ministry of Lands,1647,,2022,Unknown
Huye,E-Visa Service,Immigration Department,,93.2,2023,Aug
Kayonza,Digital Health Records,Ministry of Health,,,2023,Sep
Gakenke,Land Registration Portal,Ministry of Health,,,2021,Nov
Rulindo,eTax Portal,Ministry of Lands,2031,83.8,2024,Jun
Rubavu,Irembo Services,Rwanda Revenue Authority,,,2023,Oct
Rusizi,Digital Health Records,Ministry of Lands,,69.7,2023,Jul
Rubavu,Irembo Services,Ministry of Health,,,2023,Oct
Nyagatare,eTax Portal,Ministry of Lands,,,2023,Jul
Burera,Land Registration Portal,Ministry of ICT,2725,80.2,2022,Oct
Burera,Irembo Services,Ministry of ICT,1332,98.9,2024,Feb
Rusizi,Digital Health Records,Rwanda Revenue Authority,,99.7,2021,Jun
Nyamagabe,eTax Portal,Ministry of Lands,,89.1,2021,Jun
Gakenke,E-Visa Service,Ministry of Lands,3798,64.4,2022,Unknown
Bugesera,E-Visa Service,Ministry of Lands,,93.9,2024,Aug
Nyagatare,E-Visa Service,Ministry of Lands,2048,,2023,Oct
Rubavu,eTax Portal,Rwanda Revenue Authority,,,2022,Mar
Nyanza,Land Registration Portal,Ministry of Health,1545,95.1,2024,Unknown
Kayonza,Digital Health Records,Immigration Department,3813,89.9,2023,Nov
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,1903,93.4,2022,Dec
Kicukiro,eTax Portal,Ministry of Health,,,2024,
Musanze,Irembo Services,Ministry of Health,3631,82.5,2021,May
Rubavu,E-Visa Service,Ministry of Health,3507,,2021,Oct
Rwamagana,Online Business Registration,Ministry of Lands,1686,80.5,2024,Oct
Nyamagabe,Digital Health Records,Rwanda Revenue Authority,3049,,2021,Feb
Nyarugenge,Irembo Services,Ministry of Health,748,77.4,2024,Nov
Gakenke,Land Registration Portal,Immigration Department,,61.9,2023,Mar
Gakenke,Land Registration Portal,Immigration Department,904,,2024,Jun
Rulindo,eTax Portal,Ministry of ICT,,53.7,2023,Feb
Nyanza,Land Registration Portal,Ministry of Health,,,2022,Apr
Rusizi,Online Business Registration,Rwanda Revenue Authority,,,2024,May
Burera,E-Visa Service,Ministry of Lands,4981,75,2022,Feb
Gasabo,Irembo Services,Ministry of ICT,,,2021,Mar
Musanze,E-Visa Service,Ministry of Health,4268,,2023,Jun
Burera,Digital Health Records,Ministry of Lands,,,2024,Dec
Rusizi,E-Visa Service,Rwanda Revenue Authority,2377,55.4,2022,Mar
Karongi,eTax Portal,Rwanda Revenue Authority,,69.9,2023,Sep
Musanze,E-Visa Service,Ministry of ICT,,,2023,Jul
Ngoma,Digital Health Records,Ministry of ICT,1980,,2021,Jul
Nyamagabe-,Irembo Services,Ministry of Health,658,,2021,Oct
Rwamagana,Online Business Registration,Ministry of Lands,1197,85.9,2023,Mar
Rulindo,Irembo Services,Immigration Department,,76.1,2023,Oct
Gasabo,Irembo Services,Ministry of Lands,,59.8,2024,Jul
Rusizi,eTax Portal,Rwanda Revenue Authority,2861,94.8,2023,Jul
Nyanza,Digital Health Records,Rwanda Revenue Authority,1419,94.9,2024,Mar
Rwamagana,Irembo Services,Ministry of Health,,82.7,2023,Aug
Nyanza,Irembo Services,Immigration Department,2961,53,2021,Nov
Musanze,Online Business Registration,Ministry of Health,1893,74,2024,Sep
Ngoma,Land Registration Portal,Rwanda Revenue Authority,,55.1,2022,Dec
Nyanza,Online Business Registration,Rwanda Revenue Authority,,80.9,2021,Nov
Huye,Digital Health Records,Ministry of Lands,4786,64.2,2024,Mar
Rubavu,Digital Health Records,Immigration Department,,,2024,Sep
Bugesera,eTax Portal,Ministry of Lands,,,2022,Mar
Rwamagana,E-Visa Service,Ministry of Lands,673,,2024,Aug
Burera,E-Visa Service,Ministry of Health,3693,85.8,2023,May
Nyanza,E-Visa Service,Ministry of Lands,2099,,2022,Mar
Gasabo,Land Registration Portal,Ministry of ICT,3773,56.1,2021,Mar
Karongi,Digital Health Records,Ministry of ICT,,,2021,Jun
Kayonza,Land Registration Portal,Ministry of Lands,4140,59.1,2023,Unknown
Gasabo,E-Visa Service,Immigration Department,2106,59.2,2021,Aug
Musanze,E-Visa Service,Ministry of Lands,3220,,2024,Oct
Bugesera,Online Business Registration,Rwanda Revenue Authority,2305,,2024,Jan
Ngoma,Digital Health Records,Rwanda Revenue Authority,,,2023,Unknown
Nyagatare,E-Visa Service,Immigration Department,3241,,2021,Jun
Kicukiro,Irembo Services,Ministry of Health,,,2021,Jan
Nyagatare,Digital Health Records,Ministry of ICT,4732,76.3,2023,Aug
Nyarugenge,Land Registration Portal,Ministry of ICT,,97.6,2022,Mar
Nyarugenge,Digital Health Records,Ministry of Health,,81.9,2021,Apr
Kayonza,eTax Portal,Ministry of Lands,,94.2,2022,Unknown
Nyarugenge,Irembo Services,Immigration Department,148,89.7,2021,Jul
Burera,E-Visa Service,Ministry of Lands,,,2021,Sep
Rubavu,eTax Portal,Ministry of Health,,,2021,Sep
Rubavu,Online Business Registration,Immigration Department,2919,,2021,Nov
Kayonza,Digital Health Records,Ministry of ICT,3841,77.8,2024,Aug
Burera,Digital Health Records,Ministry of ICT,4117,,2022,Jul
Rwamagana,Online Business Registration,Ministry of Lands,4543,,2022,Nov
Rusizi,eTax Portal,Rwanda Revenue Authority,,,2021,Aug
Nyanza,Irembo Services,Ministry of Health,,90.5,2021,Jul
Nyamagabe,E-Visa Service,Ministry of Health,1268,81.2,2022,Dec
Huye,eTax Portal,Ministry of Lands,4785,71.2,2024,Unknown
Burera,Land Registration Portal,Ministry of Health,,58.4,2023,Aug
Huye,E-Visa Service,Ministry of ICT,1004,93.5,2023,Aug
Ngoma,eTax Portal,Ministry of Lands,4615,60.8,2022,Mar
Gakenke,Irembo Services,Ministry of ICT,,58.9,2021,Feb
Bugesera,Digital Health Records,Immigration Department,,,2021,Oct
Rulindo,eTax Portal,Immigration Department,3486,60.3,2024,Jan
Nyanza,Online Business Registration,Rwanda Revenue Authority,,,2023,
Rulindo,Irembo Services,Ministry of Health,3404,81.6,2024,
Musanze,Digital Health Records,Immigration Department,275,,2023,Apr
Nyagatare,Irembo Services,Ministry of Health,4943,63.7,2022,May
Nyagatare,E-Visa Service,Ministry of ICT,1009,84.8,2023,Jan
Nyarugenge,Online Business Registration,Ministry of Lands,,72.1,2024,May
Karongi,E-Visa Service,Immigration Department,865,85.9,2024,Apr
Gasabo,E-Visa Service,Ministry of Lands,,,2024,Sep
Burera,Land Registration Portal,Immigration Department,,56.4,2022,May
Nyagatare,Irembo Services,Ministry of Health,,,2023,Mar
Nyagatare,Irembo Services,Immigration Department,,78.9,2023,
Gasabo,eTax Portal,Immigration Department,,,2024,Aug
Nyarugenge,Online Business Registration,Ministry of ICT,,54.3,2023,Oct
Kicukiro,Online Business Registration,Rwanda Revenue Authority,,79.8,2021,Dec
Nyagatare,Land Registration Portal,Ministry of ICT,3470,66.2,2021,
Nyarugenge,Online Business Registration,Ministry of Lands,351,67.2,2021,
Kicukiro,Irembo Services,Ministry of Health,656,53.5,2023,Aug
Karongi,Land Registration Portal,Ministry of Health,749,,2022,Sep
Nyarugenge,Online Business Registration,Immigration Department,1189,90,2022,Sep
Nyanza,Land Registration Portal,Ministry of Health,2350,,2022,Feb
Nyagatare,Online Business Registration,Rwanda Revenue Authority,3025,,2022,Oct
Rusizi,Online Business Registration,Rwanda Revenue Authority,,,2021,Feb
Kayonza,eTax Portal,Immigration Department,,66.2,2021,May
Huye,Online Business Registration,Immigration Department,2115,,2024,
Burera,Land Registration Portal,Ministry of Lands,619,,2023,Sep
Rubavu,Irembo Services,Immigration Department,,68.1,2023,Unknown
Kayonza,eTax Portal,Ministry of ICT,,,2022,Jun
Nyagatare,Online Business Registration,Ministry of ICT,,,2021,Sep
Kayonza,Online Business Registration,Ministry of ICT,,,2022,Unknown
Nyamagabe,Land Registration Portal,Rwanda Revenue Authority,,98.1,2024,
Huye,eTax Portal,Ministry of Health,,84.5,2023,Jan
Musanze,Online Business Registration,Ministry of Lands,,,2023,
Musanze,Irembo Services,Immigration Department,,54.8,2022,Dec
Nyamagabe,E-Visa Service,Ministry of Lands,,,2024,Aug
Bugesera,Irembo Services,Rwanda Revenue Authority,1891,,2023,Sep
Nyamagabe,Online Business Registration,Immigration Department,2505,99.1,2024,Apr
Nyamagabe,Irembo Services,Immigration Department,3000,96.4,2024,Jul
Rulindo,eTax Portal,Rwanda Revenue Authority,4181,56,2022,Feb
Kicukiro,Online Business Registration,Ministry of Health,4165,57.6,2021,Dec
Musanze,Land Registration Portal,Immigration Department,,,2022,Unknown
Kicukiro,eTax Portal,Ministry of Health,,77,2021,Nov
Gakenke,Irembo Services,Rwanda Revenue Authority,1021,,2024,
Karongi,Online Business Registration,Ministry of Lands,,,2021,Apr
Musanze,eTax Portal,Immigration Department,,,2024,May
Nyagatare,Irembo Services,Ministry of Health,2824,,2023,Unknown
Huye,Online Business Registration,Immigration Department,903,,2023,Jan
Huye,E-Visa Service,Ministry of Health,,,2023,Aug
Burera,Digital Health Records,Immigration Department,,55.9,2022,May
Rulindo,Land Registration Portal,Immigration Department,,,2022,Jun
Rubavu,Irembo Services,Immigration Department,,,2024,Unknown
Nyamagabe,E-Visa Service,Ministry of Lands,4983,96.8,2023,Unknown
Rwamagana,Irembo Services,Immigration Department,2541,75.5,2022,Feb
Rusizi,Digital Health Records,Ministry of Health,,69.8,2023,Aug
Rulindo,Digital Health Records,Ministry of Lands,,,2022,Unknown
Nyagatare,eTax Portal,Ministry of ICT,54,75.8,2021,Feb
Nyarugenge,Land Registration Portal,Ministry of Health,4919,89.3,2021,
Rulindo,Land Registration Portal,Ministry of Health,,99.6,2023,
Burera,Irembo Services,Ministry of ICT,4192,,2024,Apr
Musanze,Digital Health Records,Ministry of Lands,,,2022,Apr
Kicukiro,Land Registration Portal,Immigration Department,,77,2022,
Burera,Online Business Registration,Ministry of Health,1743,,2021,Dec
Gasabo,Land Registration Portal,Ministry of ICT,,,2021,Oct
Nyarugenge,Irembo Services,Immigration Department,880,,2024,Dec
Nyagatare,E-Visa Service,Ministry of Lands,,,2024,Jun
Rwamagana,E-Visa Service,Ministry of Health,1419,54,2024,Unknown
Nyamagabe,Land Registration Portal,Immigration Department,,51.1,2023,Dec
Kayonza,eTax Portal,Immigration Department,2888,,2021,Oct
Kayonza,Digital Health Records,Rwanda Revenue Authority,1981,,2023,Nov
Huye,E-Visa Service,Ministry of ICT,,82,2021,Jul
Gakenke,Irembo Services,Immigration Department,4779,78.8,2021,Mar
Kicukiro,Irembo Services,Ministry of Lands,,,2022,Oct
Rwamagana,Digital Health Records,Rwanda Revenue Authority,609,80.3,2021,Mar
Gakenke,Digital Health Records,Immigration Department,4633,,2021,
Gasabo,Digital Health Records,Immigration Department,3393,,2023,Apr
Gakenke,E-Visa Service,Ministry of Lands,,75.1,2021,Unknown
Rusizi,Irembo Services,Rwanda Revenue Authority,1520,91.3,2023,Apr
Rulindo,Digital Health Records,Rwanda Revenue Authority,2344,,2024,
Ngoma,E-Visa Service,Ministry of ICT,,,2021,Jan
Nyamagabe,Digital Health Records,Immigration Department,1729,,2021,Oct
Burera,Irembo Services,Ministry of ICT,2794,,2023,Jun
Kayonza,Irembo Services,Rwanda Revenue Authority,,,2024,Sep
Rubavu,eTax Portal,Ministry of ICT,3168,79.7,2022,May
Huye,Land Registration Portal,Ministry of Lands,,,2024,Oct
Ngoma-,Online Business Registration,Ministry of Health,3109,63.9,2023,Sep
Huye,Irembo Services,Ministry of Lands,,82,2024,Mar
Kicukiro,Online Business Registration,Rwanda Revenue Authority,2529,,2023,Jun
Burera,eTax Portal,Ministry of Lands,,82.5,2023,Dec
Kicukiro,Land Registration Portal,Rwanda Revenue Authority,1807,69.3,2022,May
Karongi,E-Visa Service,Ministry of Lands,,,2021,May
Kicukiro,Land Registration Portal,Immigration Department,,,2023,Oct
Kicukiro,Land Registration Portal,Immigration Department,,99.7,2023,May
Kayonza,E-Visa Service,Ministry of Lands,1681,81,2022,Unknown
Nyanza,eTax Portal,Ministry of ICT,1065,99.2,2023,Sep
Nyanza,Digital Health Records,Rwanda Revenue Authority,,58.5,2021,Nov
Rwamagana,Land Registration Portal,Immigration Department,,,2022,Unknown
Kicukiro,Land Registration Portal,Rwanda Revenue Authority,,63.3,2021,Feb
Nyanza,eTax Portal,Immigration Department,,,2021,Mar
Nyarugenge,Digital Health Records,Ministry of Health,,,2022,
Rwamagana,Land Registration Portal,Ministry of Lands,,99.8,2023,
Nyarugenge,Land Registration Portal,Immigration Department,,,2021,Jul
Nyarugenge,Digital Health Records,Ministry of Lands,1618,,2021,Jan
Nyagatare,Irembo Services,Ministry of Health,2788,,2021,May
Gakenke,E-Visa Service,Rwanda Revenue Authority,3963,71.3,2021,Unknown
Musanze,Irembo Services,Ministry of Lands,4430,89.6,2022,Nov
Nyagatare,E-Visa Service,Immigration Department,4157,72.5,2022,Mar
Kicukiro,E-Visa Service,Ministry of Health,,67.7,2024,Dec
Nyarugenge,Land Registration Portal,Immigration Department,,,2024,Unknown
Nyamagabe,E-Visa Service,Ministry of Health,2132,58.8,2021,Mar
Nyanza,Online Business Registration,Ministry of Health,,,2023,Apr
Karongi,Digital Health Records,Immigration Department,825,,2021,Mar
Rusizi,Digital Health Records,Ministry of Lands,,,2023,Dec
Huye,Online Business Registration,Rwanda Revenue Authority,467,89.5,2021,Jun
Karongi,Digital Health Records,Rwanda Revenue Authority,666,,2024,Unknown
Nyagatare,eTax Portal,Ministry of Health,,59.5,2024,Apr
Rusizi,Digital Health Records,Immigration Department,1566,60.8,2023,
Gakenke,Digital Health Records,Ministry of Health,,91.7,2021,Unknown
Rubavu,Digital Health Records,Rwanda Revenue Authority,778,,2023,Nov
Ngoma,E-Visa Service,Ministry of Health,,,2024,Jul
Rulindo,Irembo Services,Ministry of Health,3515,74.4,2021,Aug
Karongi,eTax Portal,Rwanda Revenue Authority,,63.3,2021,Mar
Nyarugenge,Digital Health Records,Ministry of Lands,2836,,2023,Oct
Gasabo,eTax Portal,Ministry of Health,,63.3,2022,Nov
Rulindo,E-Visa Service,Ministry of Lands,,,2023,May
Musanze,eTax Portal,Ministry of Health,,,2024,Nov
Nyarugenge,eTax Portal,Immigration Department,,,2024,Jul
Burera,Online Business Registration,Ministry of Health,3490,90.5,2024,Jul
Huye,E-Visa Service,Ministry of Health,2376,,2024,Aug
Nyanza,Digital Health Records,Ministry of ICT,2964,,2024,Feb
Rusizi,Irembo Services,Immigration Department,,94.6,2022,Nov
Rubavu,Irembo Services,Immigration Department,,,2021,
Bugesera,Irembo Services,Ministry of Lands,,65.8,2023,
Nyarugenge,Irembo Services,Ministry of Lands,4542,,2023,Feb
Nyagatare,Digital Health Records,Ministry of Health,445,,2024,Jul
Bugesera,Irembo Services,Rwanda Revenue Authority,4221,,2023,Sep
Ngoma,E-Visa Service,Ministry of Health,,95.1,2024,Dec
Rwamagana,E-Visa Service,Ministry of ICT,767,91.3,2022,May
Rulindo,eTax Portal,Ministry of Health,,83,2022,Dec
Burera,Online Business Registration,Ministry of ICT,193,72.5,2021,Jun
Ngoma,Land Registration Portal,Ministry of Health,3190,,2022,Aug
Nyanza,Irembo Services,Ministry of Lands,4541,72.5,2022,Aug
Gasabo,Land Registration Portal,Ministry of Health,2988,,2021,Jun
Burera,Land Registration Portal,Ministry of Lands,3686,99.4,2023,Oct
Ngoma,Land Registration Portal,Rwanda Revenue Authority,1217,84,2024,Jan
Musanze,eTax Portal,Rwanda Revenue Authority,1112,51.9,2024,Unknown
Rubavu,E-Visa Service,Immigration Department,,85.8,2023,
Rusizi,Irembo Services,Ministry of Health,,90.1,2021,Unknown
Musanze,Digital Health Records,Immigration Department,1206,50.6,2023,Dec
Musanze,eTax Portal,Ministry of Health,782,,2022,Feb
Burera,E-Visa Service,Rwanda Revenue Authority,,,2021,Dec
Rubavu,Digital Health Records,Ministry of ICT,,,2021,Aug
Rusizi,E-Visa Service,Immigration Department,,88.7,2021,Nov
Ngoma,Irembo Services,Immigration Department,,89.2,2024,Nov
Huye,eTax Portal,Rwanda Revenue Authority,,58.7,2023,Dec
Karongi,Land Registration Portal,Rwanda Revenue Authority,3043,,2021,Jun
Huyex,eTax Portal,Ministry of ICT,,,2021,Unknown
Rusizi,eTax Portal,Immigration Department,1590,71.2,2021,Feb
Nyanza,Irembo Services,Rwanda Revenue Authority,,,2023,
Kayonza,Land Registration Portal,Rwanda Revenue Authority,,,2024,Sep
Rusizi,Land Registration Portal,Ministry of ICT,1438,88.5,2022,Jul
Kicukiro,Online Business Registration,Ministry of ICT,,98.8,2024,Apr
Nyarugenge,Online Business Registration,Ministry of Lands,1730,60.3,2021,Jul
Nyamagabe,E-Visa Service,Ministry of Health,4362,,2024,Unknown
Rusizi,Digital Health Records,Ministry of Lands,,88.7,2024,Apr
Kicukiro,Online Business Registration,Ministry of ICT,,98,2022,Aug
Gasabo,Irembo Services,Rwanda Revenue Authority,3536,,2023,May
Karongi,eTax Portal,Ministry of ICT,,,2023,Jun
Rubavu,Land Registration Portal,Immigration Department,2264,,2024,Unknown
Rusizi,eTax Portal,Rwanda Revenue Authority,,55.7,2024,May
Rwamagana,Irembo Services,Ministry of Lands,3652,79.1,2023,Jun
